DateTime,Open,High,Low,Close,Volume
2025-05-19 10:15:00+05:30,171.05,171.5,170.52,170.68,444779
2025-05-19 11:15:00+05:30,170.74,171.28,170.56,170.62,422667
2025-05-19 12:15:00+05:30,170.61,173.2,170.33,171.9,2121833
2025-05-19 13:15:00+05:30,171.9,172.09,170.5,170.73,648866
2025-05-19 14:15:00+05:30,170.78,171.15,170.37,170.66,622079
2025-05-19 15:15:00+05:30,170.68,170.75,170.1,170.66,424660
2025-05-20 09:15:00+05:30,171.05,171.58,168.4,169.14,932056
2025-05-20 10:15:00+05:30,169.2,169.24,167.85,168.5,1049553
2025-05-20 11:15:00+05:30,168.5,168.6,167.67,168.39,503538
2025-05-20 12:15:00+05:30,168.45,168.6,167.32,167.6,346135
2025-05-20 13:15:00+05:30,167.56,167.79,166.25,166.4,566538
2025-05-20 14:15:00+05:30,166.4,166.4,164.31,164.86,2007030
2025-05-20 15:15:00+05:30,164.89,165.5,164.87,165.44,446418
2025-05-21 09:15:00+05:30,165.72,167.05,163.3,167.04,2505451
2025-05-21 10:15:00+05:30,167.01,168.1,166.67,167.84,908808
2025-05-21 11:15:00+05:30,167.84,167.9,166.16,166.22,767753
2025-05-21 12:15:00+05:30,166.29,166.9,165.72,166.89,862277
2025-05-21 13:15:00+05:30,166.72,168.45,166.72,167.86,1070190
2025-05-21 14:15:00+05:30,167.9,168.6,167.67,168.17,1457075
2025-05-21 15:15:00+05:30,168.18,168.3,167.5,167.77,671195
2025-05-22 09:15:00+05:30,167.2,167.99,166.16,166.73,1628124
2025-05-22 10:15:00+05:30,166.8,167.01,165.0,165.08,936298
2025-05-22 11:15:00+05:30,165.0,165.41,164.7,165.13,708049
2025-05-22 12:15:00+05:30,165.17,165.45,164.9,165.34,357079
2025-05-22 13:15:00+05:30,165.35,165.42,164.56,164.9,263735
2025-05-22 14:15:00+05:30,164.82,166.49,164.35,165.92,2451190
2025-05-22 15:15:00+05:30,165.96,166.0,165.05,165.47,820279
2025-05-23 09:15:00+05:30,166.45,166.45,164.7,165.1,616259
2025-05-23 10:15:00+05:30,165.1,165.46,164.43,165.08,386587
2025-05-23 11:15:00+05:30,165.08,166.14,164.69,165.81,416334
2025-05-23 12:15:00+05:30,165.81,165.85,165.21,165.35,509337
2025-05-23 13:15:00+05:30,165.43,165.63,165.06,165.32,499052
2025-05-23 14:15:00+05:30,165.32,165.99,165.28,165.69,442933
2025-05-23 15:15:00+05:30,165.69,165.7,165.1,165.25,360357
2025-05-26 09:15:00+05:30,165.65,166.68,165.2,165.79,726454
2025-05-26 10:15:00+05:30,165.92,166.03,164.4,164.86,480900
2025-05-26 11:15:00+05:30,164.86,165.07,164.42,164.71,203945
2025-05-26 12:15:00+05:30,164.69,164.92,164.51,164.63,181292
2025-05-26 13:15:00+05:30,164.7,165.47,164.45,165.39,892877
